city,xco2_ppm,sif_757nm,Country,TargetRegion,Population,GDP [billion USD],"Annual CO2 Emissions, OCO-3 [MtCO2 year-1]","Annual CO2 Emissions, OCO-3, 1-sig uncertainty [MtCO2 year-1]",quadrant
Douala,416.85834,0.27802745,,,,,,,LOW_both
Phoenix,417.78964,0.08229635,USA,North America,2756881,198.8,25.137,4.368,LOW_emissions_HIGH_conc
Rio de Janeiro,414.72723,0.2650909,Brazil,Latin America,10393317,225.7,39.012,13.812,HIGH_emissions_LOW_conc
El Paso,416.07693,0.06775464,,,,,,,LOW_both
Faridabad,416.42538,0.1598769,,,,,,,LOW_both
Fez,,0.030898383,,,,,,,LOW_both
Foshan,418.8965,0.1774914,,,,,,,LOW_emissions_HIGH_conc
Freetown,,0.2284492,,,,,,,LOW_both
Fukuoka,415.84155,0.2674712,,,,,,,LOW_both
Fushun,416.98703,0.2291265,,,,,,,LOW_both
Fuyang,418.75623,0.2568181,,,,,,,LOW_emissions_HIGH_conc
Fuzhou,418.25473,0.26079085,,,,,,,LOW_emissions_HIGH_conc
Geneva,,0.09674525,,,,,,,LOW_both
Ghaziabad,416.77438,0.1775358,,,,,,,LOW_both
Goyang,419.51984,0.23569512,,,,,,,LOW_emissions_HIGH_conc
Amman,415.51328,0.07069788,Jordan,South and West Asia,3628653,49,15.658,4.652,LOW_both
Guangzhou,418.8616,0.19807443,,,,,,,LOW_emissions_HIGH_conc
Guatemala,415.80917,0.28436148,,,,,,,LOW_both
Guayaquil,414.48416,0.13675798,,,,,,,LOW_both
Guiyang,417.46518,0.19439839,,,,,,,LOW_emissions_HIGH_conc
Gujranwala,416.47635,0.289632,,,,,,,LOW_both
Gwangju,417.42136,0.2705133,,,,,,,LOW_emissions_HIGH_conc
Haifa,415.91522,0.13596736,,,,,,,LOW_both
Haiphong,416.85416,0.24943025,,,,,,,LOW_both
Hamhung,416.8268,0.116155565,,,,,,,LOW_both
Athens,415.3815,0.13275483,Greece,Europe,3344006,168.7,22.004,10.011,LOW_both
Boston,417.39386,0.26537305,USA,North America,2043464,240.7,27.917,9.215,LOW_both
Harbin,415.39926,0.23071562,,,,,,,LOW_both
Hartford,416.44727,0.29040757,,,,,,,LOW_both
Hefei,417.38773,0.2734332,,,,,,,LOW_both
Hims,415.3657,0.14901376,,,,,,,LOW_both
Ho Chi Minh City,417.3067,0.2530011,,,,,,,LOW_both
Hohhot,417.64633,0.15485261,,,,,,,LOW_emissions_HIGH_conc
Hong Kong,416.72287,0.21885213,,,,,,,LOW_both
Honolulu,415.23804,0.13037433,,,,,,,LOW_both
Buenos Aires,412.77887,0.20647107,Argentina,Latin America,14671264,448.2,38.885,6.898,LOW_both
Huainan,418.95807,0.17095864,,,,,,,LOW_emissions_HIGH_conc
Huzhou,417.24832,0.25567213,,,,,,,LOW_both
Hyderabad,418.2599,0.19398105,,,,,,,LOW_emissions_HIGH_conc
Incheon,420.30478,0.1523138,,,,,,,LOW_emissions_HIGH_conc
Indianapolis,417.07785,0.3461757,,,,,,,LOW_both
Isfahan,417.70477,0.05002692,,,,,,,LOW_emissions_HIGH_conc
Dalian,417.41006,0.19136946,China,Central East Asia,3612937,118,26.507,13.23,LOW_both
Jaipur,417.95914,0.12865275,,,,,,,LOW_emissions_HIGH_conc
Jakarta,416.5579,0.18548827,,,,,,,LOW_both
Jeddah,416.31372,0.033068266,,,,,,,LOW_both
Jiaozuo,416.1446,0.29101062,,,,,,,LOW_both
Jiaxing,419.96915,0.26711637,,,,,,,LOW_emissions_HIGH_conc
Jilin,416.63254,0.17609158,,,,,,,LOW_both
Jinan,417.07767,0.27838293,,,,,,,LOW_both
Jodhpur,417.39746,0.07658564,,,,,,,LOW_both
Dubai,416.5691,0.059520733,UAE,South and West Asia,1986017,120.2,32.447,7.496,LOW_both
Johor Bahru,416.37143,0.361295,,,,,,,LOW_both
Jullundur,,0.31115872,,,,,,,LOW_both
Kaifeng,418.87527,0.26969287,,,,,,,LOW_emissions_HIGH_conc
Kanpur,,0.18953238,,,,,,,LOW_both
Kansas City,416.86572,0.29614976,,,,,,,LOW_both
Kaohsiung,418.32608,0.22421384,,,,,,,LOW_emissions_HIGH_conc
Durban,413.8118,0.24962054,South Africa,Africa,3181031,62.8,35.579,17.292,LOW_both
Karaj,415.79337,0.072195224,,,,,,,LOW_both
Kelang,417.2052,0.31175902,,,,,,,LOW_both
Khartoum,416.13376,0.050647765,,,,,,,LOW_both
Khulna,414.18494,0.32430246,,,,,,,LOW_both
Kigali,416.2989,0.30650598,,,,,,,LOW_both
Kinshasa,,0.21558638,,,,,,,LOW_both
Guadalajara,416.2684,0.17405039,Mexico,Latin America,5047012,132.1,14.216,2.775,LOW_both
Krakow,415.75412,0.30448496,,,,,,,LOW_both
Kuala Lumpur,418.50195,0.338948,,,,,,,LOW_emissions_HIGH_conc
Kuwait City,417.11212,0.024257202,,,,,,,LOW_both
Kyoto,415.47708,0.21627747,,,,,,,LOW_both
La Paz,,0.042813417,,,,,,,LOW_both
Lagos,414.9628,0.21510184,,,,,,,LOW_both
Lahore,415.60248,0.20847408,,,,,,,LOW_both
Langfang,417.33478,0.23782565,,,,,,,LOW_both
Las Vegas,414.6875,0.025966581,,,,,,,LOW_both
Liaoyang,414.14294,0.18158993,,,,,,,LOW_both
Lille,416.92047,0.4712276,,,,,,,LOW_both
Houston,415.98923,0.26664466,USA,North America,5664644,480.1,37.065,22.758,LOW_both
Lisbon,,0.15985835,,,,,,,LOW_both
Lodz,416.11023,0.28183973,,,,,,,LOW_both
Istanbul,416.1518,0.19564354,Turkey,Europe,15618958,989.5,28.253,16.875,LOW_both
Karachi,414.482,0.09413237,Pakistan,South and West Asia,11860354,139.6,20.402,4.775,LOW_both
Luan,418.07904,0.29468587,,,,,,,LOW_emissions_HIGH_conc
Luanda,415.01157,0.14300796,,,,,,,LOW_both
Lucknow,418.16187,0.23505642,,,,,,,LOW_emissions_HIGH_conc
Ludhiana,414.33597,0.28086936,,,,,,,LOW_both
Lima,414.5831,0.060925517,Peru,Latin America,10141408,241.1,35.05,10.421,LOW_both
Maiduguri,416.15976,0.11534444,,,,,,,LOW_both
Makassar,413.83142,0.15237004,,,,,,,LOW_both
Makkah,416.47714,0.037172403,,,,,,,LOW_both
Malang,414.7787,0.3169067,,,,,,,LOW_both
Managua,415.66562,0.31493026,,,,,,,LOW_both
Manaus,418.63412,0.34125307,,,,,,,LOW_emissions_HIGH_conc
Manila,417.08325,0.33220163,,,,,,,LOW_both
Maracaibo,416.14188,0.25513825,,,,,,,LOW_both
Maracay,415.56494,0.31562996,,,,,,,LOW_both
Marrakesh,,0.08817251,,,,,,,LOW_both
Marseille,414.2356,0.20651051,,,,,,,LOW_both
Mashhad,415.3888,0.063808255,,,,,,,LOW_both
Medan,414.67776,0.34748346,,,,,,,LOW_both
Medellin,417.41425,0.2827337,,,,,,,LOW_both
Medina,416.4482,0.027289093,,,,,,,LOW_both
Meerut,415.13342,0.22808723,,,,,,,LOW_both
London,416.75494,0.33578676,UK,Europe,11239995,970.1,22.388,9.375,LOW_both
Memphis,415.96594,0.2563924,,,,,,,LOW_both
Mendoza,413.61105,0.10743832,,,,,,,LOW_both
Merida,,0.33135584,,,,,,,LOW_both
Madrid,415.83008,0.12121843,Spain,Europe,4584179,272.8,16.955,2.608,LOW_both
Mexico City,417.1186,0.118171416,Mexico,Latin America,14142563,409.2,18.945,3.132,LOW_both
Mianyang,,0.15418148,,,,,,,LOW_both
Miami,417.20517,0.17905638,USA,North America,5704554,438.2,33.174,14.912,LOW_both
Milwaukee,414.2364,0.29909176,,,,,,,LOW_both
Minneapolis,413.61557,0.27914235,,,,,,,LOW_both
Mombasa,415.14743,0.12578146,,,,,,,LOW_both
Monterrey,417.09473,0.13868994,,,,,,,LOW_both
Milan,415.3401,0.32536307,Italy,Europe,4337831,341.8,24.551,7.368,LOW_both
Montreal,416.70926,0.27145132,Canada,North America,3380758,197.9,32.459,7.278,LOW_both
Munich,417.26447,0.35213318,,,,,,,LOW_both
Nagoya,418.46133,0.19122396,,,,,,,LOW_emissions_HIGH_conc
Nairobi,415.2207,0.17020038,Kenya,Africa,5277515,83.1,35.622,11.858,LOW_both
Nanjing,416.8576,0.26324648,,,,,,,LOW_both
Nantong,420.61316,0.210252,,,,,,,LOW_emissions_HIGH_conc
Naples,414.9475,0.24454385,,,,,,,LOW_both
Nashville,416.2633,0.4463852,,,,,,,LOW_both
New Delhi,416.0642,0.15013215,India,South and West Asia,23182754,537.3,34.329,6.004,LOW_both
New Orleans,416.46564,0.26184005,,,,,,,LOW_both
Philadelphia,415.44366,0.23777324,USA,North America,2832734,231.8,14.023,5.298,LOW_both
Niamey,415.58713,0.06862763,,,,,,,LOW_both
Ningbo,417.3443,0.23273104,,,,,,,LOW_both
Oklahoma City,414.9901,0.18846853,,,,,,,LOW_both
Omsk,416.4232,0.12732774,,,,,,,LOW_both
Oran,405.88495,0.05264749,,,,,,,LOW_both
Orlando,417.20853,0.2320221,,,,,,,LOW_both
Osaka,416.92853,0.23064427,,,,,,,LOW_both
Ottawa,413.68042,0.2111138,,,,,,,LOW_both
Padang,414.52322,0.33980438,,,,,,,LOW_both
Palermo,415.76675,0.21896118,,,,,,,LOW_both
Panama City,421.2901,0.38144097,,,,,,,LOW_emissions_HIGH_conc
Portland,415.5241,0.22358586,USA,North America,1927072,160,25.21,4.787,LOW_both
Patna,419.67593,0.18541083,,,,,,,LOW_emissions_HIGH_conc
Perth,412.37323,0.096801095,,,,,,,LOW_both
Peshawar,417.3408,0.15347919,,,,,,,LOW_both
Rome,416.1756,0.24617602,Italy,Europe,3440199,230.6,27.217,7.089,LOW_both
Rotterdam,,0.36717108,Netherlands,Europe,2344742,169.8,11.577,19.274,LOW_both
Pittsburgh,415.1249,0.45884633,,,,,,,LOW_both
San Francisco,417.20306,0.14689042,USA,North America,5809783,912.2,38.386,69.35,LOW_both
Prague,413.604,0.31719828,,,,,,,LOW_both
Pretoria,415.12796,0.119772956,,,,,,,LOW_both
Providence,414.22122,0.35071295,,,,,,,LOW_both
Puch'on,420.73828,0.17842682,,,,,,,LOW_emissions_HIGH_conc
Puebla,414.80698,0.20779873,,,,,,,LOW_both
Pune,414.39197,0.1609893,,,,,,,LOW_both
Santiago,413.48074,0.18062738,Chile,Latin America,6033643,182.4,23.359,5.107,LOW_both
Quanzhou,418.82782,0.2338891,,,,,,,LOW_emissions_HIGH_conc
Quito,413.71384,0.2410234,,,,,,,LOW_both
Raipur,417.64075,0.15878776,,,,,,,LOW_emissions_HIGH_conc
Rajkot,417.47897,0.13247317,,,,,,,LOW_emissions_HIGH_conc
Richmond,416.12146,0.38218057,,,,,,,LOW_both
Sao Paulo,413.96378,0.20359871,Brazil,Latin America,18522262,542.5,35.053,7.554,LOW_both
Riyadh,415.78503,0.0397719,,,,,,,LOW_both
Rochester,414.30322,0.35583562,,,,,,,LOW_both
Seattle,416.00348,0.21406877,USA,North America,2126664,274.8,35.484,8.682,LOW_both
Rostov,414.78436,0.31749478,,,,,,,LOW_both
Sydney,413.50916,0.17860232,Australia,East. Southeast Asia & Oceania,4303199,290.9,21.249,9.258,LOW_both
Sacramento,416.52908,0.17290618,,,,,,,LOW_both
Salt Lake City,416.64758,0.0885568,,,,,,,LOW_both
Saltillo,416.6279,0.098782286,,,,,,,LOW_both
Salvador,,0.2458348,,,,,,,LOW_both
San Antonio,416.86752,0.18771456,,,,,,,LOW_both
San Bernardino,415.85367,0.1005044,,,,,,,LOW_both
San Diego,416.1031,0.101081096,,,,,,,LOW_both
Tel Aviv-Yafo,415.86368,0.1296015,Israel,Europe,2167590,154.3,17.424,2.747,LOW_both
San Jose,415.46625,0.28097424,,,,,,,LOW_both
San Juan,419.57233,0.34651664,,,,,,,LOW_emissions_HIGH_conc
San Salvador,415.75656,0.34247938,,,,,,,LOW_both
Sanaa,,0.010313158,,,,,,,LOW_both
Toronto,414.9184,0.2670237,Canada,North America,3641203,254.2,11.7,3.266,LOW_both
Santo Domingo,417.24466,0.31347448,,,,,,,LOW_both
Santos,412.896,0.25608963,,,,,,,LOW_both
Vancouver,416.9142,0.20240177,Canada,North America,2234359,139.6,17.595,4.57,LOW_both
Sapporo,,0.24664003,,,,,,,LOW_both
Melbourne,412.96228,0.22594367,Australia,East. Southeast Asia & Oceania,4060542,257.2,45.11,19.987,HIGH_emissions_LOW_conc
Semarang,415.95645,0.31861675,,,,,,,LOW_both
Chengdu,417.7662,0.22571456,China,Central East Asia,10212401,291.8,15.893,6.944,LOW_emissions_HIGH_conc
Shanghai,418.69717,0.16327944,,,,,,,LOW_emissions_HIGH_conc
Shangqiu,414.71338,0.24866876,,,,,,,LOW_both
Shantou,418.52252,0.17986426,,,,,,,LOW_emissions_HIGH_conc
Shaoxing,418.92426,0.2067889,,,,,,,LOW_emissions_HIGH_conc
Shenyeng,415.92078,0.20155014,,,,,,,LOW_both
Shenzhen,416.11996,0.2284923,,,,,,,LOW_both
Shijiazhuang,417.1765,0.22179928,,,,,,,LOW_both
Singapore,416.77365,0.24345508,,,,,,,LOW_both
Songnam,421.13187,0.23698981,,,,,,,LOW_emissions_HIGH_conc
St. Louis,417.30368,0.31211686,,,,,,,LOW_both
Surabaya,415.6302,0.27879837,,,,,,,LOW_both
Suwon,420.84418,0.19614315,,,,,,,LOW_emissions_HIGH_conc
Suzhou,418.48834,0.19276886,,,,,,,LOW_emissions_HIGH_conc
Chicago,417.52777,0.27072033,USA,North America,3493266,308.7,25.168,13.091,LOW_emissions_HIGH_conc
Tabriz,416.5509,0.07488832,,,,,,,LOW_both
Taian,417.411,0.19678332,,,,,,,LOW_both
Taichung,418.3361,0.28315264,,,,,,,LOW_emissions_HIGH_conc
Tainan,418.44812,0.28336796,,,,,,,LOW_emissions_HIGH_conc
Taipei,416.54117,0.3140283,,,,,,,LOW_both
Taiyuan,418.2598,0.18163805,,,,,,,LOW_emissions_HIGH_conc
Tampa,417.4803,0.22826909,,,,,,,LOW_emissions_HIGH_conc
Tangshan,416.97354,0.20675425,,,,,,,LOW_both
Tegucigalpa,416.8918,0.31412008,,,,,,,LOW_both
Tehran,416.2861,0.07467812,,,,,,,LOW_both
Dhaka,418.20718,0.23884209,Bangladesh,South and West Asia,29564652,391.9,21.763,29.752,LOW_emissions_HIGH_conc
Tianjin,419.19522,0.14743531,,,,,,,LOW_emissions_HIGH_conc
Tijuana,414.91724,0.08740272,,,,,,,LOW_both
Mumbai,415.91077,0.14400855,India,South and West Asia,19043780,414.4,50.657,18.667,HIGH_emissions_LOW_conc
Toluca,417.445,0.15115318,,,,,,,LOW_emissions_HIGH_conc
Paris,417.23367,0.28826934,France,Europe,10055230,959.4,41.297,11.141,HIGH_emissions_LOW_conc
Toulouse,,0.24823686,,,,,,,LOW_both
Tripoli,408.69336,0.04307134,,,,,,,LOW_both
Tucson,416.47116,0.08254952,,,,,,,LOW_both
Tucuman,414.40857,0.001750638,,,,,,,LOW_both
Turin,411.81442,0.12832244,,,,,,,LOW_both
Ulsan,418.76688,0.25735483,,,,,,,LOW_emissions_HIGH_conc
Urumqi,416.2785,0.07241761,,,,,,,LOW_both
Vadodara,415.50235,0.27273765,,,,,,,LOW_both
Valparaiso,409.97614,0.094095886,,,,,,,LOW_both
New York,415.83685,0.30212075,USA,North America,10658557,1132,44.632,54.573,HIGH_emissions_LOW_conc
Varanasi,417.51483,0.1560469,,,,,,,LOW_emissions_HIGH_conc
Vatican City,416.4969,0.23218529,,,,,,,LOW_both
Vereeniging,414.00223,0.16913465,,,,,,,LOW_both
Vienna,416.61877,0.3133251,,,,,,,LOW_both
Warsaw,415.41595,0.23024884,,,,,,,LOW_both
"Washington, D.C.",415.7896,0.35649514,,,,,,,LOW_both
Wenzhou,415.32004,0.24337262,,,,,,,LOW_both
Tokyo,415.21414,0.20057608,Japan,East. Southeast Asia & Oceania,21604148,1224.7,83.384,65.655,HIGH_emissions_LOW_conc
Wuhu,417.5318,0.20742522,,,,,,,LOW_emissions_HIGH_conc
Wuxi,419.52985,0.21455345,,,,,,,LOW_emissions_HIGH_conc
Xiamen,417.74356,0.199704,,,,,,,LOW_emissions_HIGH_conc
Xian,417.199,0.26415357,,,,,,,LOW_both
Xiantao,,0.20122051,,,,,,,LOW_both
Xianyang,418.4981,0.2545285,,,,,,,LOW_emissions_HIGH_conc
Xining,,0.050773934,,,,,,,LOW_both
Xinxiang,418.76624,0.29373702,,,,,,,LOW_emissions_HIGH_conc
Yinchuan,417.14563,0.14608805,,,,,,,LOW_both
Yuci,418.54803,0.15190075,,,,,,,LOW_emissions_HIGH_conc
Zamboanga,420.66577,0.3946277,,,,,,,LOW_emissions_HIGH_conc
Zhengzhou,418.78326,0.25300935,,,,,,,LOW_emissions_HIGH_conc
Zhenjiang,419.29306,0.2567338,,,,,,,LOW_emissions_HIGH_conc
Zhuhai,418.5222,0.2912662,,,,,,,LOW_emissions_HIGH_conc
Zibo,416.7025,0.27405277,,,,,,,LOW_both
Zurich,415.45093,0.29963097,,,,,,,LOW_both
